237	23,9,6,16,3,17,22,20,21,18
69	11,9,0,3,7,1,10,5,6,4
182	13,14,12,7,16,1,3,15,10,4
214	8,4,6,5,3,7,2,11,10,9
356	4,10,5,3,9,8,0,1,6,2
276	4,5,1,0,2,3
204	22,44,40,19,39,4,37,15,16,29
51	13,10,15,11,16,1,4,6,2,8
221	18,10,3,40,0,20,28,39,37,31
227	19,7,28,23,15,17,3,8,6,9
115	11,6,27,9,18,29,16,3,5,14
364	9,11,6,3,5,10,1,0,4,8
198	1,2,13,18,15,11,19,17,5,8
245	1,6,17,14,0,10,2,7,8,16
271	3,4,18,13,16,17,21,1,0,6
307	13,19,17,9,15,10,23,16,20,22
89	14,6,1,10,9,21,0,3,8,12
336	7,0,4,12,14,17,2,5,11,13
242	43,41,31,40,1,21,29,39,16,23
153	2,13,3,10,17,12,15,1,14,4
293	44,13,31,58,68,12,77,41,16,42
128	8,4,7,3,0,16,6,9,19,2
305	5,2,3,1,0,4
98	3,24,27,25,8,16,29,14,5,4
37	0,9,17,5,3,25,11,18,24,13
181	11,9,1,2,4,8,5,7,6,10
193	34,21,17,11,33,15,18,2,14,35
133	34,21,5,11,4,3,14,29,38,0
260	28,0,26,2,6,5,35,27,15,30
186	0,1,5,17,13,22,9,4,2,20
127	8,7,4,0,9,5,6,11,3,1
156	5,10,3,11,8,9,7,1,0,6
354	49,34,5,37,17,48,47,42,0,4
152	1,10,4,9,8,0,7,2,3,5
131	11,13,1,17,0,2,10,7,6,8
110	11,12,3,8,7,14,0,4,2,1
241	10,0,11,9,8,6,7,4,2,1
94	5,4,8,6,2,3,0,13,9,10
262	15,2,13,8,3,4,9,17,14,16
183	11,4,7,5,6,10,0,9,8,2
297	29,26,8,21,14,5,27,18,4,25
368	0,11,8,6,9,3,5,10,7,2
85	40,13,32,18,26,5,3,35,41,31
306	15,20,21,17,8,11,0,16,23,10
379	55,35,30,28,15,33,16,29,40,20
280	10,6,2,0,9,11,1,7,4,5
104	23,8,24,5,2,6,7,1,15,18
335	15,8,5,7,1,13,9,17,3,6
286	5,2,3,0,1,4
105	20,7,6,1,0,22,21,13,4,14
15	4,8,0,6,7,11,3,1,5,9
279	15,35,36,39,19,17,32,11,6,44
256	5,1,8,11,3,2,6,4,10,7
304	2,4,0,3,5,1
65	70,40,99,71,11,66,89,60,94,62
123	1,10,18,5,4,14,23,0,16,20
327	32,15,44,38,14,13,17,45,59,42
168	6,21,10,23,13,5,17,15,4,7
325	1,33,50,24,27,39,60,46,51,62
170	15,16,5,6,3,13,11,0,10,8
216	26,22,12,17,10,7,23,28,2,5
45	63,67,115,56,142,129,69,127,36,38
9	21,12,15,36,4,11,9,42,19,22
369	26,45,73,35,49,25,39,11,59,40
259	10,2,3,4,5,9,0,11,8,7
353	3,11,7,1,8,2,9,10,6,4
100	2,0,5,14,17,13,16,6,3,10
350	7,8,5,6,9,2,4,1,10,3
146	3,18,35,15,9,37,33,40,19,22
144	4,2,3,11,16,8,12,1,17,13
91	8,0,7,5,1,10,2,3,4,6
194	4,1,0,5,3,2
236	1,11,0,3,9,4,2,5,10,7
87	7,15,3,20,19,11,8,13,16,17
16	5,11,10,8,7,4,1,3,2,9
199	14,10,4,7,11,15,13,9,3,5
222	9,2,0,3,6,5,10,4,8,11
315	4,9,0,7,3,12,15,1,14,16
39	4,20,0,13,14,21,9,7,23,19
225	7,6,8,3,2,0,11,1,5,10
31	5,4,3,2,1,0
263	15,32,14,5,19,11,34,46,13,10
317	9,1,2,3,4,8,6,0,10,5
275	5,16,20,2,0,3,14,4,11,17
41	2,1,6,10,7,5,9,11,3,4
143	27,8,28,1,7,16,19,26,10,0
161	9,4,8,5,11,10,3,7,2,1
318	6,2,5,10,9,1,8,11,3,0
93	8,6,7,2,9,10,1,4,11,0
375	6,12,11,1,8,14,9,7,13,2
76	10,22,25,18,13,6,8,0,2,11
234	8,63,24,73,75,37,78,49,57,6
330	29,11,26,46,53,49,12,21,6,15
132	5,7,4,0,6,16,10,14,8,11
361	6,9,1,3,5,4,17,16,11,0
47	0,4,1,5,3,2
167	2,9,6,10,3,8,11,5,0,1
343	18,17,13,15,28,1,5,6,22,7
84	4,7,0,6,10,8,5,3,9,11
345	10,4,5,13,2,3,14,6,8,11
82	17,2,19,16,23,29,22,25,1,18
122	53,14,28,67,36,39,20,44,68,35
26	1,0,4,8,6,9,7,11,2,3
292	11,10,1,0,8,4,2,9,6,3
22	0,1,2,3,4,5
213	7,3,11,0,8,9,2,4,6,1
378	70,21,62,9,84,77,3,34,97,15
118	4,9,10,6,3,8,5,11,0,7
288	7,10,2,8,6,5,3,0,4,9
382	7,8,11,10,5,3,4,9,0,2
117	4,7,11,9,0,5,6,10,2,1
324	6,7,18,11,4,15,24,5,35,29
329	19,14,1,22,21,2,5,7,11,15
367	2,11,4,8,6,0,7,3,1,10
380	33,29,5,50,49,46,3,47,21,7
381	7,17,1,16,0,9,12,2,10,15
28	8,11,10,1,3,9,6,4,5,7
360	1,5,7,8,4,2,9,10,11,6
284	6,28,21,4,14,3,24,17,0,7
154	28,7,13,17,1,11,26,24,3,20
282	11,13,21,4,23,19,16,14,18,12
265	14,19,11,6,4,18,0,15,2,10
162	5,8,4,9,6,1,0,3,7,2
125	3,9,8,10,4,1,5,7,0,11
359	17,10,9,16,13,12,0,7,3,2
136	11,45,22,30,39,20,0,34,16,4
95	5,2,10,6,22,18,11,9,17,4
109	24,98,116,123,126,13,78,125,136,79
78	23,20,17,10,16,22,11,14,13,0
19	20,4,14,16,17,23,10,2,8,3
120	0,1,4,3,2,5
328	8,11,6,10,1,9,0,2,3,4
20	25,5,36,41,48,23,53,24,27,9
4	14,16,23,4,8,5,18,12,34,24
74	15,2,10,11,1,6,12,9,5,0
103	3,9,7,6,10,8,4,1,2,0
308	0,5,11,7,10,8,1,2,6,3
135	0,3,15,9,16,17,12,11,13,6
246	24,11,34,3,25,20,16,13,32,27
195	12,1,0,3,13,14,7,8,17,9
185	183,69,167,253,85,235,203,13,145,93
179	2,10,8,3,13,11,4,0,9,7
285	50,74,62,8,53,95,93,97,30,12
321	12,14,11,8,2,4,17,3,20,19
155	21,9,24,6,26,15,19,2,1,8
303	3,0,5,11,8,7,10,4,6,9
43	19,9,29,27,21,1,24,14,11,20
