237	6,23,3,17,10,20,16,18,9,2
69	11,9,5,1,0,4,3,7,10,6
182	13,16,14,3,15,12,1,7,10,17
214	8,4,6,7,9,5,3,2,1,11
356	4,5,10,3,8,9,1,7,0,11
276	4,5,1,2,3,0
204	22,19,4,6,40,18,37,29,35,20
51	13,15,16,11,10,1,4,14,12,6
221	18,10,40,35,24,2,28,15,14,0
227	19,15,7,23,3,11,28,5,4,8
115	11,18,9,6,27,29,25,8,4,24
364	6,9,3,11,5,1,4,10,7,8
198	2,13,18,11,5,1,17,8,19,15
245	1,17,14,6,0,2,7,4,12,5
271	4,16,21,1,11,17,3,13,22,18
307	19,17,9,13,15,14,1,2,7,10
89	14,9,1,0,6,13,10,21,3,12
336	13,17,7,11,2,14,4,0,5,15
242	43,1,16,21,39,3,22,38,41,25
153	2,10,3,13,14,17,12,15,8,1
293	44,13,8,16,37,68,58,42,77,69
128	8,3,0,4,7,16,2,9,12,10
305	5,2,3,0,4,1
98	3,24,27,25,29,0,16,18,15,8
37	3,9,5,24,17,11,25,0,27,13
181	11,1,2,8,7,6,9,4,5,10
193	34,15,33,9,17,4,29,35,2,11
133	11,34,5,3,21,4,14,29,16,19
260	0,28,5,2,26,35,21,30,11,15
186	1,0,5,9,17,22,13,14,4,20
127	7,4,8,0,3,5,11,1,2,6
156	5,3,10,11,7,8,0,9,2,1
354	37,17,44,34,42,49,47,48,14,0
152	1,4,9,10,0,2,7,8,3,5
131	13,11,17,2,14,1,10,6,7,5
110	11,12,7,8,3,2,0,14,6,9
241	10,0,9,8,11,6,7,4,1,3
94	5,4,8,3,12,2,10,0,13,6
262	8,15,13,12,3,4,2,0,16,14
183	11,4,0,7,5,6,10,9,1,3
297	27,8,18,5,21,26,29,12,6,25
368	0,11,8,9,3,10,5,7,6,2
85	40,10,18,26,5,35,13,3,32,41
306	15,0,8,21,17,11,20,10,5,16
379	40,58,15,55,30,28,29,16,35,20
280	6,1,0,2,4,10,9,5,7,11
104	23,8,5,24,2,3,7,9,1,26
335	15,4,1,8,5,2,9,7,17,10
286	2,3,5,0,4,1
105	1,6,7,20,17,4,5,13,21,16
15	4,8,7,6,0,1,9,3,11,5
279	30,36,45,25,19,15,32,47,37,35
256	5,1,8,6,3,11,4,2,10,7
304	2,4,3,0,5,1
65	40,99,70,22,62,60,89,26,27,19
123	1,10,18,5,4,12,23,22,20,19
327	44,38,14,17,22,42,45,30,32,59
168	21,23,10,6,5,13,8,4,17,18
325	50,24,39,20,1,9,35,46,26,33
170	15,3,5,6,16,2,17,10,1,7
216	26,22,12,39,17,7,16,40,24,36
45	69,67,129,149,63,59,89,55,38,142
9	11,21,42,36,15,1,22,13,4,31
369	35,26,11,59,66,45,71,73,40,57
259	2,3,10,4,9,5,11,0,8,6
353	11,3,7,1,8,9,6,4,2,0
100	2,0,5,16,6,13,17,14,10,4
350	7,2,9,8,5,0,6,4,11,10
146	35,18,15,3,21,26,33,9,22,37
144	4,3,2,1,13,8,16,7,17,15
91	8,0,2,7,1,5,10,9,3,6
194	4,0,1,3,5,2
236	11,3,0,1,2,9,5,10,4,8
87	15,11,10,7,6,3,20,16,19,21
16	10,1,5,8,11,4,3,7,2,0
199	14,10,13,4,7,15,3,9,6,11
222	2,9,0,3,6,7,5,4,11,1
315	9,1,4,7,15,0,14,10,16,12
39	4,0,13,21,5,9,7,14,20,3
225	7,6,2,8,3,10,11,0,9,1
31	5,4,2,3,0,1
263	5,32,49,46,13,41,14,34,2,54
317	9,2,3,6,8,0,1,5,11,10
275	20,5,2,21,17,3,4,12,0,16
41	2,1,5,10,7,6,9,4,11,3
143	8,7,1,27,19,26,28,5,18,6
161	9,4,8,7,10,5,2,11,6,3
318	2,5,10,9,4,6,1,3,8,11
93	8,7,5,2,6,10,4,9,1,11
375	14,6,11,1,12,9,4,8,7,2
76	10,14,13,22,28,11,6,15,2,25
234	8,24,26,78,63,57,49,73,48,14
330	11,46,26,53,29,12,5,35,15,36
132	5,7,4,6,0,16,10,1,13,15
361	6,1,9,3,11,4,0,5,2,8
47	4,1,5,0,3,2
167	2,3,6,9,10,11,8,1,7,0
343	13,17,15,22,28,7,6,18,5,1
84	7,4,0,8,6,10,9,11,3,5
345	5,10,13,3,17,4,6,14,12,2
82	2,19,17,16,23,22,29,21,25,26
122	56,14,67,36,20,61,28,10,68,73
26	1,8,9,7,0,11,6,2,4,3
292	11,10,1,8,9,0,2,4,5,3
22	3,1,0,5,2,4
213	3,11,7,0,6,8,2,9,4,5
378	62,21,97,84,34,42,55,102,57,70
118	6,10,9,4,5,8,7,11,2,3
288	7,8,10,3,2,9,0,11,4,1
382	7,10,11,4,8,5,2,9,6,0
117	7,11,4,9,8,1,6,10,0,2
324	7,6,18,4,11,5,12,1,40,15
329	14,19,1,2,21,22,15,9,5,10
367	11,2,4,0,8,1,3,5,6,9
380	33,29,50,5,3,22,59,7,34,46
381	0,17,1,7,16,11,2,12,8,10
28	8,10,11,9,1,4,3,6,5,7
360	1,7,5,4,8,2,9,11,6,10
284	6,28,4,17,24,14,3,21,23,18
154	28,1,7,17,26,20,16,11,29,9
282	13,11,19,21,23,4,18,16,14,6
265	14,19,0,18,6,11,22,4,2,10
162	5,9,4,6,8,1,3,0,2,7
125	9,5,4,3,7,1,8,10,0,2
359	17,10,9,8,1,0,16,13,7,12
136	22,34,20,0,39,30,2,4,45,11
95	2,5,22,19,10,1,17,6,16,4
109	79,116,98,24,125,78,42,111,44,136
78	17,10,23,20,11,3,13,0,7,14
19	20,14,4,8,9,5,11,17,16,10
120	4,0,5,3,1,2
328	8,11,6,0,9,2,10,1,3,7
20	5,36,44,23,27,37,24,40,7,25
4	16,14,18,5,23,7,4,12,30,29
74	15,2,11,9,8,12,10,3,17,6
103	3,9,6,10,8,7,4,1,2,5
308	7,10,5,0,11,8,2,3,6,1
135	16,0,3,17,9,12,6,13,11,8
246	24,20,32,3,34,25,13,22,16,11
195	1,12,17,3,5,15,13,0,9,11
185	128,85,253,183,145,45,0,167,62,16
179	2,10,4,13,0,3,8,11,9,6
285	62,95,53,81,74,97,93,54,8,30
321	12,11,8,14,1,4,18,19,17,5
155	9,21,6,26,25,24,1,15,12,11
303	3,5,11,0,10,7,8,4,6,2
43	9,19,29,21,27,1,24,14,11,13
232	9,23,7,17,8,21,2,16,3,1
196	1,2,4,5,0,3
151	11,12,25,15,2,26,1,28,0,24
173	8,3,9,1,11,0,2,4,7,5
295	16,1,2,10,15,17,13,0,4,12
309	10,1,6,12,13,2,3,4,0,5
300	0,2,7,10,8,3,6,4,11,5
113	25,20,5,8,26,9,28,13,11,27
187	43,41,60,63,39,38,54,20,16,57
219	21,22,13,20,3,8,5,0,2,23
46	1,15,3,7,5,0,4,10,2,8
138	4,5,6,14,13,0,15,9,12,17
40	2,3,0,1,5,4
42	40,33,34,15,37,28,6,31,29,13
148	10,28,71,2,5,76,77,26,65,18
192	16,14,9,21,15,13,2,5,0,3
171	11,0,2,10,1,6,3,4,9,8
75	0,3,4,1,2,5
96	27,38,10,36,4,31,26,16,22,17
63	2,8,11,7,3,6,4,9,5,0
251	0,20,15,8,19,16,29,7,2,21
190	7,0,4,10,8,6,1,2,9,3
25	2,1,4,7,0,15,17,9,11,13
323	11,17,6,13,5,16,0,4,9,12
149	0,3,1,5,2,4
99	10,15,6,16,13,7,1,21,29,3
337	84,72,4,69,16,70,33,54,55,73
268	3,2,6,11,9,7,4,5,1,10
332	1,5,0,2,4,3
129	51,43,25,3,49,42,19,16,12,46
27	0,3,5,1,2,4
175	0,19,24,15,14,26,10,30,23,17
142	5,2,17,16,4,3,13,8,1,7
174	23,12,2,7,8,21,9,11,4,14
331	3,11,8,0,7,9,4,1,2,5
59	2,7,6,0,10,4,13,1,12,3
296	10,6,5,8,4,11,2,0,1,7
312	2,10,16,15,8,5,1,4,6,11
141	4,10,7,6,1,2,5,11,3,9
257	18,3,5,13,16,7,20,21,23,17
243	46,51,49,14,11,16,19,6,4,24
12	47,9,15,22,7,5,4,3,27,31
357	62,29,44,81,51,20,12,57,80,54
351	7,3,11,9,10,8,1,6,2,0
290	8,7,6,11,1,4,3,5,2,10
362	10,9,4,7,8,11,2,3,0,1
373	22,15,20,19,10,14,23,6,1,8
311	5,1,0,3,4,2
197	17,0,29,6,24,13,20,16,10,19
92	9,8,14,2,17,6,15,1,13,4
71	9,3,0,2,1,10,7,11,6,5
342	9,6,0,7,4,11,10,2,8,5
218	12,33,11,26,9,23,15,34,13,18
255	3,16,11,4,1,21,9,19,22,20
57	0,1,5,2,4,3
230	31,0,33,8,15,20,27,9,23,11
281	2,1,4,0,5,3
38	2,4,3,0,5,1
217	4,2,3,5,1,0
176	0,82,97,63,12,22,8,91,54,20
86	7,13,26,25,6,3,4,16,15,27
34	7,0,2,10,11,1,4,6,8,9
386	11,12,4,16,8,5,13,2,0,3
191	17,7,22,4,13,0,26,9,18,32
124	11,2,0,6,1,5,8,10,3,7
18	13,7,19,21,10,1,6,23,11,16
339	25,23,4,40,15,0,41,19,27,6
80	48,16,49,38,58,54,14,46,32,1
376	10,15,4,0,14,5,16,13,6,9
52	66,47,16,35,25,13,60,23,10,58
355	5,8,4,9,3,6,1,7,11,0
90	1,14,13,34,28,10,24,7,35,2
106	3,1,6,9,10,2,7,4,8,0
372	0,16,13,17,5,12,8,7,1,11
366	22,32,24,27,33,25,9,15,4,14
61	4,1,5,3,0,2
261	57,28,40,21,47,25,20,42,10,45
